************************************************************************
Output generated by CrystalDiffract 6 for Windows                       
Copyright (c) 1996-2018 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************

This file looks best in a non-proportional font, e.g., Courier

  h   k   l    d(hkl)  2-Theta    Intensity  I/Imax   m    N       Lp
  2  -1   5   1.16141    .8610  3.83030e+01    0.0%   2   30   62.755
 -1   5   2   1.16141    .8610  1.00381e+02    0.0%   2   30   62.755
  2   5  -1   1.16141    .8610  6.85388e+01    0.0%   2   30   62.755
 -2   1   5   1.16141    .8610  3.83030e+01    0.0%   2   30   62.755
  1  -2   5   1.16141    .8610  1.89881e+02    0.0%   2   30   62.755
  5  -2   1   1.16141    .8610  2.86954e+02    0.1%   2   30   62.755
  5   1  -2   1.16141    .8610  4.55669e+02    0.1%   2   30   62.755
 -2   5   1   1.16141    .8610  6.85378e+01    0.0%   2   30   62.755
  1   5  -2   1.16141    .8610  1.00379e+02    0.0%   2   30   62.755
  2   1  -5   1.16141    .8610  3.83060e+01    0.0%   2   30   62.755
  2  -5   1   1.16141    .8610  6.85378e+01    0.0%   2   30   62.755
  1  -5   2   1.16141    .8610  1.00381e+02    0.0%   2   30   62.755
 -5   2   1   1.16141    .8610  2.86954e+02    0.1%   2   30   62.755
 -5   1   2   1.16141    .8610  4.55678e+02    0.1%   2   30   62.755
  1   2  -5   1.16141    .8610  1.89880e+02    0.0%   2   30   62.755
  4   0   4   1.12453    .8893  1.22467e+04    2.6%   2   32   60.762
  0   4   4   1.12453    .8893  1.29887e+04    2.8%   2   32   60.762
  4   4   0   1.12453    .8893  1.10246e+04    2.4%   2   32   60.762
  4  -4   0   1.12453    .8893  1.10247e+04    2.4%   2   32   60.762
  4   0  -4   1.12453    .8893  1.22467e+04    2.6%   2   32   60.762
  0   4  -4   1.12453    .8893  1.29887e+04    2.8%   2   32   60.762
  2   2   5   1.10736    .9030  3.53338e+03    0.8%   2   33   59.835
  1   4   4   1.10736    .9030  2.63570e+03    0.6%   2   33   59.835
  2   5   2   1.10736    .9030  3.96894e+03    0.9%   2   33   59.835
  5   2   2   1.10736    .9030  2.23152e+03    0.5%   2   33   59.835
  4   1   4   1.10736    .9030  2.69082e+03    0.6%   2   33   59.835
  4   4   1   1.10736    .9030  3.13097e+03    0.7%   2   33   59.835
  4  -1   4   1.10736    .9030  2.69081e+03    0.6%   2   33   59.835
 -1   4   4   1.10736    .9030  2.63569e+03    0.6%   2   33   59.835
  4   4  -1   1.10736    .9030  3.13097e+03    0.7%   2   33   59.835
  5  -2   2   1.10736    .9030  2.23148e+03    0.5%   2   33   59.835
  5   2  -2   1.10736    .9030  2.23152e+03    0.5%   2   33   59.835
  2  -2   5   1.10736    .9030  3.53337e+03    0.8%   2   33   59.835
  2   5  -2   1.10736    .9030  3.96894e+03    0.9%   2   33   59.835
 -2   5   2   1.10736    .9030  3.96894e+03    0.9%   2   33   59.835
 -2   2   5   1.10736    .9030  3.53337e+03    0.8%   2   33   59.835
  2  -5   2   1.10736    .9030  3.96894e+03    0.9%   2   33   59.835
 -4   1   4   1.10736    .9030  2.69081e+03    0.6%   2   33   59.835
  4   1  -4   1.10736    .9030  2.69082e+03    0.6%   2   33   59.835
 -5   2   2   1.10736    .9030  2.23148e+03    0.5%   2   33   59.835
  1   4  -4   1.10736    .9030  2.63570e+03    0.6%   2   33   59.835
  2   2  -5   1.10736    .9030  3.53338e+03    0.8%   2   33   59.835
  1  -4   4   1.10736    .9030  2.63569e+03    0.6%   2   33   59.835
 -4   4   1   1.10736    .9030  3.13095e+03    0.7%   2   33   59.835
  4  -4   1   1.10736    .9030  3.13095e+03    0.7%   2   33   59.835
  4   3   3   1.09095    .9166  5.80373e+01    0.0%   2   34   58.948
  3   4   3   1.09095    .9166  9.18728e+01    0.0%   2   34   58.948
  3   3   4   1.09095    .9166  7.42206e+01    0.0%   2   34   58.948
  3   0   5   1.09095    .9166  1.23039e+01    0.0%   2   34   58.948
  0   3   5   1.09095    .9166  2.49883e+02    0.1%   2   34   58.948
  5   0   3   1.09095    .9166  4.34964e+02    0.1%   2   34   58.948
  3   5   0   1.09095    .9166  1.45275e+02    0.0%   2   34   58.948
  0   5   3   1.09095    .9166  1.63186e+02    0.0%   2   34   58.948
  5   3   0   1.09095    .9166  1.86808e+02    0.0%   2   34   58.948
 -3   4   3   1.09095    .9166  9.18679e+01    0.0%   2   34   58.948
  4  -3   3   1.09095    .9166  5.80389e+01    0.0%   2   34   58.948
  3   4  -3   1.09095    .9166  9.18728e+01    0.0%   2   34   58.948
  4   3  -3   1.09095    .9166  5.80373e+01    0.0%   2   34   58.948
  3  -3   4   1.09095    .9166  7.42147e+01    0.0%   2   34   58.948
 -3   3   4   1.09095    .9166  7.42147e+01    0.0%   2   34   58.948
  3  -4   3   1.09095    .9166  9.18679e+01    0.0%   2   34   58.948
  5  -3   0   1.09095    .9166  1.86820e+02    0.0%   2   34   58.948
  3   0  -5   1.09095    .9166  1.23039e+01    0.0%   2   34   58.948
  0   3  -5   1.09095    .9166  2.49883e+02    0.1%   2   34   58.948
  5   0  -3   1.09095    .9166  4.34964e+02    0.1%   2   34   58.948
 -4   3   3   1.09095    .9166  5.80389e+01    0.0%   2   34   58.948
  0   5  -3   1.09095    .9166  1.63186e+02    0.0%   2   34   58.948
  3  -5   0   1.09095    .9166  1.45272e+02    0.0%   2   34   58.948
  3   3  -4   1.09095    .9166  7.42206e+01    0.0%   2   34   58.948
  1   3   5   1.07526    .9300  1.68133e+03    0.4%   2   35   58.100
  5   3   1   1.07526    .9300  1.88019e+03    0.4%   2   35   58.100
  5   1   3   1.07526    .9300  2.32098e+03    0.5%   2   35   58.100
  3   5   1   1.07526    .9300  8.50723e+02    0.2%   2   35   58.100
  3   1   5   1.07526    .9300  1.13410e+03    0.2%   2   35   58.100
  1   5   3   1.07526    .9300  1.50668e+03    0.3%   2   35   58.100
  5   3  -1   1.07526    .9300  1.88019e+03    0.4%   2   35   58.100
 -1   5   3   1.07526    .9300  1.50669e+03    0.3%   2   35   58.100
 -1   3   5   1.07526    .9300  1.68134e+03    0.4%   2   35   58.100
  3   5  -1   1.07526    .9300  8.50723e+02    0.2%   2   35   58.100
  5  -1   3   1.07526    .9300  2.32099e+03    0.5%   2   35   58.100
  3  -1   5   1.07526    .9300  1.13409e+03    0.2%   2   35   58.100
  1  -3   5   1.07526    .9300  1.68134e+03    0.4%   2   35   58.100
 -3   1   5   1.07526    .9300  1.13409e+03    0.2%   2   35   58.100
  5  -3   1   1.07526    .9300  1.88023e+03    0.4%   2   35   58.100
 -3   5   1   1.07526    .9300  8.50714e+02    0.2%   2   35   58.100
  1   5  -3   1.07526    .9300  1.50668e+03    0.3%   2   35   58.100
  5   1  -3   1.07526    .9300  2.32098e+03    0.5%   2   35   58.100
  3   1  -5   1.07526    .9300  1.13410e+03    0.2%   2   35   58.100
 -5   1   3   1.07526    .9300  2.32099e+03    0.5%   2   35   58.100
  3  -5   1   1.07526    .9300  8.50714e+02    0.2%   2   35   58.100
  1   3  -5   1.07526    .9300  1.68133e+03    0.4%   2   35   58.100
  1  -5   3   1.07526    .9300  1.50669e+03    0.3%   2   35   58.100
 -5   3   1   1.07526    .9300  1.88023e+03    0.4%   2   35   58.100
  4   4   2   1.06022    .9432  8.58680e+03    1.9%   2   36   57.287
  4   2   4   1.06022    .9432  8.73361e+03    1.9%   2   36   57.287
  2   4   4   1.06022    .9432  7.90656e+03    1.7%   2   36   57.287
  0   6   0   1.06022    .9432  8.93840e+03    1.9%   2   36   57.287
 -2   4   4   1.06022    .9432  7.90656e+03    1.7%   2   36   57.287
  6   0   0   1.06022    .9432  1.13949e+04    2.5%   2   36   57.287
  0   0   6   1.06022    .9432  1.21491e+04    2.6%   2   36   57.287
  4   4  -2   1.06022    .9432  8.58680e+03    1.9%   2   36   57.287
  4  -2   4   1.06022    .9432  8.73363e+03    1.9%   2   36   57.287
  2   4  -4   1.06022    .9432  7.90656e+03    1.7%   2   36   57.287
  4   2  -4   1.06022    .9432  8.73361e+03    1.9%   2   36   57.287
 -4   2   4   1.06022    .9432  8.73363e+03    1.9%   2   36   57.287
 -4   4   2   1.06022    .9432  8.58683e+03    1.9%   2   36   57.287
  2  -4   4   1.06022    .9432  7.90656e+03    1.7%   2   36   57.287
  4  -4   2   1.06022    .9432  8.58683e+03    1.9%   2   36   57.287
  1   6   0   1.04579    .9562  2.46313e+03    0.5%   2   37   56.508
  1   0   6   1.04579    .9562  1.66169e+03    0.4%   2   37   56.508
  6   1   0   1.04579    .9562  1.37508e+03    0.3%   2   37   56.508
  0   1   6   1.04579    .9562  1.19545e+03    0.3%   2   37   56.508
  0   6   1   1.04579    .9562  2.28151e+03    0.5%   2   37   56.508
  6   0   1   1.04579    .9562  1.26861e+03    0.3%   2   37   56.508
  0   6  -1   1.04579    .9562  2.28151e+03    0.5%   2   37   56.508
  6  -1   0   1.04579    .9562  1.37506e+03    0.3%   2   37   56.508
  0   1  -6   1.04579    .9562  1.19545e+03    0.3%   2   37   56.508
  6   0  -1   1.04579    .9562  1.26861e+03    0.3%   2   37   56.508
  1   0  -6   1.04579    .9562  1.66169e+03    0.4%   2   37   56.508
  1  -6   0   1.04579    .9562  2.46312e+03    0.5%   2   37   56.508
  5   2   3   1.03194    .9690  1.73443e+02    0.0%   2   38   55.759
  2   5   3   1.03194    .9690  3.73091e+01    0.0%   2   38   55.759
  2   3   5   1.03194    .9690  2.55435e+01    0.0%   2   38   55.759
  3   2   5   1.03194    .9690  5.71943e+01    0.0%   2   38   55.759
  5   3   2   1.03194    .9690  1.47107e+02    0.0%   2   38   55.759
  3   5   2   1.03194    .9690  1.06880e+02    0.0%   2   38   55.759
  1   6   1   1.03194    .9690  3.42736e+01    0.0%   2   38   55.759
  6   1   1   1.03194    .9690  3.20315e+02    0.1%   2   38   55.759
  1   1   6   1.03194    .9690  1.68591e+02    0.0%   2   38   55.759
  1  -1   6   1.03194    .9690  1.68592e+02    0.0%   2   38   55.759
 -1   1   6   1.03194    .9690  1.68592e+02    0.0%   2   38   55.759
  3   5  -2   1.03194    .9690  1.06880e+02    0.0%   2   38   55.759
  6   1  -1   1.03194    .9690  3.20315e+02    0.1%   2   38   55.759
 -2   3   5   1.03194    .9690  2.55426e+01    0.0%   2   38   55.759
 -2   5   3   1.03194    .9690  3.73085e+01    0.0%   2   38   55.759
  6  -1   1   1.03194    .9690  3.20323e+02    0.1%   2   38   55.759
  5   3  -2   1.03194    .9690  1.47107e+02    0.0%   2   38   55.759
  3  -2   5   1.03194    .9690  5.71889e+01    0.0%   2   38   55.759
 -1   6   1   1.03194    .9690  3.42741e+01    0.0%   2   38   55.759
  1   6  -1   1.03194    .9690  3.42736e+01    0.0%   2   38   55.759
  5  -2   3   1.03194    .9690  1.73450e+02    0.0%   2   38   55.759
 -3   2   5   1.03194    .9690  5.71889e+01    0.0%   2   38   55.759
  5   2  -3   1.03194    .9690  1.73443e+02    0.0%   2   38   55.759
  2  -3   5   1.03194    .9690  2.55426e+01    0.0%   2   38   55.759
  1   1  -6   1.03194    .9690  1.68591e+02    0.0%   2   38   55.759
 -3   5   2   1.03194    .9690  1.06878e+02    0.0%   2   38   55.759
  5  -3   2   1.03194    .9690  1.47116e+02    0.0%   2   38   55.759
  2   5  -3   1.03194    .9690  3.73091e+01    0.0%   2   38   55.759
  1  -6   1   1.03194    .9690  3.42741e+01    0.0%   2   38   55.759
 -6   1   1   1.03194    .9690  3.20323e+02    0.1%   2   38   55.759
  2   3  -5   1.03194    .9690  2.55435e+01    0.0%   2   38   55.759
 -5   2   3   1.03194    .9690  1.73450e+02    0.0%   2   38   55.759
 -5   3   2   1.03194    .9690  1.47116e+02    0.0%   2   38   55.759
  3  -5   2   1.03194    .9690  1.06878e+02    0.0%   2   38   55.759
  3   2  -5   1.03194    .9690  5.71943e+01    0.0%   2   38   55.759
  2  -5   3   1.03194    .9690  3.73085e+01    0.0%   2   38   55.759
  2   0   6   1.00581    .9942  6.34908e+03    1.4%   2   40   54.348
  6   0   2   1.00581    .9942  8.98295e+03    1.9%   2   40   54.348
  0   6   2   1.00581    .9942  7.08965e+03    1.5%   2   40   54.348
  2   6   0   1.00581    .9942  5.85791e+03    1.3%   2   40   54.348
  6   2   0   1.00581    .9942  8.30872e+03    1.8%   2   40   54.348
  0   2   6   1.00581    .9942  8.44614e+03    1.8%   2   40   54.348
  2   0  -6   1.00581    .9942  6.34908e+03    1.4%   2   40   54.348
  6   0  -2   1.00581    .9942  8.98295e+03    1.9%   2   40   54.348
  2  -6   0   1.00581    .9942  5.85790e+03    1.3%   2   40   54.348
  0   6  -2   1.00581    .9942  7.08965e+03    1.5%   2   40   54.348
  0   2  -6   1.00581    .9942  8.44614e+03    1.8%   2   40   54.348
  6  -2   0   1.00581    .9942  8.30878e+03    1.8%   2   40   54.348
  4   3   4   0.99347   1.0066  1.94935e+03    0.4%   2   41   53.681
  4   4   3   0.99347   1.0066  1.95726e+03    0.4%   2   41   53.681
  3   4   4   0.99347   1.0066  2.48426e+03    0.5%   2   41   53.681
  5   0   4   0.99347   1.0066  1.08370e+03    0.2%   2   41   53.681
  0   4   5   0.99347   1.0066  1.40318e+03    0.3%   2   41   53.681
  4   5   0   0.99347   1.0066  2.05849e+03    0.4%   2   41   53.681
  2   6   1   0.99347   1.0066  2.53807e+03    0.5%   2   41   53.681
  0   5   4   0.99347   1.0066  1.53619e+03    0.3%   2   41   53.681
  4   0   5   0.99347   1.0066  1.59151e+03    0.3%   2   41   53.681
  2   1   6   0.99347   1.0066  2.20484e+03    0.5%   2   41   53.681
  5   4   0   0.99347   1.0066  1.44111e+03    0.3%   2   41   53.681
  6   2   1   0.99347   1.0066  1.27101e+03    0.3%   2   41   53.681
  1   6   2   0.99347   1.0066  1.96299e+03    0.4%   2   41   53.681
  6   1   2   0.99347   1.0066  1.11462e+03    0.2%   2   41   53.681
  1   2   6   0.99347   1.0066  1.58080e+03    0.3%   2   41   53.681
  6   2  -1   0.99347   1.0066  1.27101e+03    0.3%   2   41   53.681
 -1   6   2   0.99347   1.0066  1.96298e+03    0.4%   2   41   53.681
  2  -1   6   0.99347   1.0066  2.20484e+03    0.5%   2   41   53.681
  2   6  -1   0.99347   1.0066  2.53807e+03    0.5%   2   41   53.681
  6  -1   2   0.99347   1.0066  1.11461e+03    0.2%   2   41   53.681
 -1   2   6   0.99347   1.0066  1.58080e+03    0.3%   2   41   53.681
  4   4  -3   0.99347   1.0066  1.95726e+03    0.4%   2   41   53.681
  1  -2   6   0.99347   1.0066  1.58080e+03    0.3%   2   41   53.681
  4  -3   4   0.99347   1.0066  1.94934e+03    0.4%   2   41   53.681
  6   1  -2   0.99347   1.0066  1.11462e+03    0.2%   2   41   53.681
 -2   6   1   0.99347   1.0066  2.53808e+03    0.5%   2   41   53.681
 -3   4   4   0.99347   1.0066  2.48426e+03    0.5%   2   41   53.681
 -2   1   6   0.99347   1.0066  2.20484e+03    0.5%   2   41   53.681
  6  -2   1   0.99347   1.0066  1.27099e+03    0.3%   2   41   53.681
  1   6  -2   0.99347   1.0066  1.96299e+03    0.4%   2   41   53.681
  3   4  -4   0.99347   1.0066  2.48426e+03    0.5%   2   41   53.681
  1   2  -6   0.99347   1.0066  1.58080e+03    0.3%   2   41   53.681
  2   1  -6   0.99347   1.0066  2.20484e+03    0.5%   2   41   53.681
  4  -4   3   0.99347   1.0066  1.95725e+03    0.4%   2   41   53.681
 -4   4   3   0.99347   1.0066  1.95725e+03    0.4%   2   41   53.681
  1  -6   2   0.99347   1.0066  1.96298e+03    0.4%   2   41   53.681
 -4   3   4   0.99347   1.0066  1.94934e+03    0.4%   2   41   53.681
 -6   2   1   0.99347   1.0066  1.27099e+03    0.3%   2   41   53.681
  3  -4   4   0.99347   1.0066  2.48426e+03    0.5%   2   41   53.681
 -6   1   2   0.99347   1.0066  1.11461e+03    0.2%   2   41   53.681
  4   3  -4   0.99347   1.0066  1.94935e+03    0.4%   2   41   53.681
  2  -6   1   0.99347   1.0066  2.53808e+03    0.5%   2   41   53.681
  4   0  -5   0.99347   1.0066  1.59151e+03    0.3%   2   41   53.681
  0   4  -5   0.99347   1.0066  1.40318e+03    0.3%   2   41   53.681
  0   5  -4   0.99347   1.0066  1.53619e+03    0.3%   2   41   53.681
  5  -4   0   0.99347   1.0066  1.44108e+03    0.3%   2   41   53.681
  4  -5   0   0.99347   1.0066  2.05848e+03    0.4%   2   41   53.681
  5   0  -4   0.99347   1.0066  1.08370e+03    0.2%   2   41   53.681
  4   5   1   0.98157   1.0188  3.53207e+01    0.0%   2   42   53.038
  5   1   4   0.98157   1.0188  2.11879e+02    0.0%   2   42   53.038
  1   5   4   0.98157   1.0188  5.25832e+01    0.0%   2   42   53.038
  1   4   5   0.98157   1.0188  7.59423e+01    0.0%   2   42   53.038
  5   4   1   0.98157   1.0188  1.29405e+02    0.0%   2   42   53.038
  4   1   5   0.98157   1.0188  7.03162e+01    0.0%   2   42   53.038
 -1   5   4   0.98157   1.0188  5.25841e+01    0.0%   2   42   53.038
 -1   4   5   0.98157   1.0188  7.59434e+01    0.0%   2   42   53.038
  4  -1   5   0.98157   1.0188  7.03165e+01    0.0%   2   42   53.038
  4   5  -1   0.98157   1.0188  3.53207e+01    0.0%   2   42   53.038
  5   4  -1   0.98157   1.0188  1.29405e+02    0.0%   2   42   53.038
  5  -1   4   0.98157   1.0188  2.11883e+02    0.0%   2   42   53.038
  1  -4   5   0.98157   1.0188  7.59434e+01    0.0%   2   42   53.038
  5  -4   1   0.98157   1.0188  1.29415e+02    0.0%   2   42   53.038
  5   1  -4   0.98157   1.0188  2.11879e+02    0.0%   2   42   53.038
 -4   1   5   0.98157   1.0188  7.03165e+01    0.0%   2   42   53.038
 -4   5   1   0.98157   1.0188  3.53221e+01    0.0%   2   42   53.038
  1   5  -4   0.98157   1.0188  5.25832e+01    0.0%   2   42   53.038
  4  -5   1   0.98157   1.0188  3.53221e+01    0.0%   2   42   53.038
  1   4  -5   0.98157   1.0188  7.59423e+01    0.0%   2   42   53.038
 -5   1   4   0.98157   1.0188  2.11883e+02    0.0%   2   42   53.038
  1  -5   4   0.98157   1.0188  5.25841e+01    0.0%   2   42   53.038
  4   1  -5   0.98157   1.0188  7.03162e+01    0.0%   2   42   53.038
 -5   4   1   0.98157   1.0188  1.29415e+02    0.0%   2   42   53.038
  3   5   3   0.97009   1.0308  5.36429e+02    0.1%   2   43   52.417
  5   3   3   0.97009   1.0308  1.15910e+03    0.3%   2   43   52.417
  3   3   5   0.97009   1.0308  6.81052e+02    0.1%   2   43   52.417
 -3   3   5   0.97009   1.0308  6.81048e+02    0.1%   2   43   52.417
  3  -3   5   0.97009   1.0308  6.81048e+02    0.1%   2   43   52.417
  5   3  -3   0.97009   1.0308  1.15910e+03    0.3%   2   43   52.417
  5  -3   3   0.97009   1.0308  1.15912e+03    0.3%   2   43   52.417
  3   5  -3   0.97009   1.0308  5.36429e+02    0.1%   2   43   52.417
 -3   5   3   0.97009   1.0308  5.36423e+02    0.1%   2   43   52.417
  3  -5   3   0.97009   1.0308  5.36423e+02    0.1%   2   43   52.417
  3   3  -5   0.97009   1.0308  6.81052e+02    0.1%   2   43   52.417
 -5   3   3   0.97009   1.0308  1.15912e+03    0.3%   2   43   52.417
  2   6   2   0.95900   1.0428  4.73475e+03    1.0%   2   44   51.818
  6   2   2   0.95900   1.0428  6.66468e+03    1.4%   2   44   51.818
  2   2   6   0.95900   1.0428  5.13597e+03    1.1%   2   44   51.818
  6  -2   2   0.95900   1.0428  6.66473e+03    1.4%   2   44   51.818
 -2   2   6   0.95900   1.0428  5.13597e+03    1.1%   2   44   51.818
 -2   6   2   0.95900   1.0428  4.73475e+03    1.0%   2   44   51.818
  6   2  -2   0.95900   1.0428  6.66468e+03    1.4%   2   44   51.818
  2  -2   6   0.95900   1.0428  5.13597e+03    1.1%   2   44   51.818
  2   6  -2   0.95900   1.0428  4.73475e+03    1.0%   2   44   51.818
  2  -6   2   0.95900   1.0428  4.73475e+03    1.0%   2   44   51.818
 -6   2   2   0.95900   1.0428  6.66473e+03    1.4%   2   44   51.818
  2   2  -6   0.95900   1.0428  5.13597e+03    1.1%   2   44   51.818
  2   4   5   0.94829   1.0545  1.80923e+03    0.4%   2   45   51.239
  2   5   4   0.94829   1.0545  1.97392e+03    0.4%   2   45   51.239
  5   4   2   0.94829   1.0545  1.17359e+03    0.3%   2   45   51.239
  5   2   4   0.94829   1.0545  1.15582e+03    0.2%   2   45   51.239
  4   2   5   0.94829   1.0545  1.52404e+03    0.3%   2   45   51.239
  4   5   2   0.94829   1.0545  1.66244e+03    0.4%   2   45   51.239
  3   6   0   0.94829   1.0545  2.32572e+03    0.5%   2   45   51.239
  0   3   6   0.94829   1.0545  1.10839e+03    0.2%   2   45   51.239
  6   3   0   0.94829   1.0545  1.12121e+03    0.2%   2   45   51.239
  0   6   3   0.94829   1.0545  1.47340e+03    0.3%   2   45   51.239
  6   0   3   0.94829   1.0545  8.48433e+02    0.2%   2   45   51.239
  3   0   6   0.94829   1.0545  1.74822e+03    0.4%   2   45   51.239
  5   4  -2   0.94829   1.0545  1.17359e+03    0.3%   2   45   51.239
  4   5  -2   0.94829   1.0545  1.66244e+03    0.4%   2   45   51.239
 -2   5   4   0.94829   1.0545  1.97392e+03    0.4%   2   45   51.239
  4  -2   5   0.94829   1.0545  1.52404e+03    0.3%   2   45   51.239
  5  -2   4   0.94829   1.0545  1.15580e+03    0.2%   2   45   51.239
 -2   4   5   0.94829   1.0545  1.80922e+03    0.4%   2   45   51.239
 -4   5   2   0.94829   1.0545  1.66243e+03    0.4%   2   45   51.239
  5  -4   2   0.94829   1.0545  1.17357e+03    0.3%   2   45   51.239
  0   3  -6   0.94829   1.0545  1.10839e+03    0.2%   2   45   51.239
  6  -3   0   0.94829   1.0545  1.12118e+03    0.2%   2   45   51.239
  5   2  -4   0.94829   1.0545  1.15582e+03    0.2%   2   45   51.239
  2  -4   5   0.94829   1.0545  1.80922e+03    0.4%   2   45   51.239
  3   0  -6   0.94829   1.0545  1.74822e+03    0.4%   2   45   51.239
 -4   2   5   0.94829   1.0545  1.52404e+03    0.3%   2   45   51.239
  0   6  -3   0.94829   1.0545  1.47340e+03    0.3%   2   45   51.239
  6   0  -3   0.94829   1.0545  8.48433e+02    0.2%   2   45   51.239
  2   5  -4   0.94829   1.0545  1.97392e+03    0.4%   2   45   51.239
  3  -6   0   0.94829   1.0545  2.32573e+03    0.5%   2   45   51.239
 -5   4   2   0.94829   1.0545  1.17357e+03    0.3%   2   45   51.239
  4  -5   2   0.94829   1.0545  1.66243e+03    0.4%   2   45   51.239
  2  -5   4   0.94829   1.0545  1.97392e+03    0.4%   2   45   51.239
  4   2  -5   0.94829   1.0545  1.52404e+03    0.3%   2   45   51.239
 -5   2   4   0.94829   1.0545  1.15580e+03    0.2%   2   45   51.239
  2   4  -5   0.94829   1.0545  1.80923e+03    0.4%   2   45   51.239
  3   6   1   0.93792   1.0662  6.70108e+01    0.0%   2   46   50.679
  1   6   3   0.93792   1.0662  2.40319e+01    0.0%   2   46   50.679
  1   3   6   0.93792   1.0662  6.49415e+01    0.0%   2   46   50.679
  6   1   3   0.93792   1.0662  2.00264e+02    0.0%   2   46   50.679
  6   3   1   0.93792   1.0662  1.20181e+02    0.0%   2   46   50.679
  3   1   6   0.93792   1.0662  2.23276e+01    0.0%   2   46   50.679
  3  -1   6   0.93792   1.0662  2.23251e+01    0.0%   2   46   50.679
 -1   3   6   0.93792   1.0662  6.49423e+01    0.0%   2   46   50.679
  6   3  -1   0.93792   1.0662  1.20181e+02    0.0%   2   46   50.679
  3   6  -1   0.93792   1.0662  6.70108e+01    0.0%   2   46   50.679
 -1   6   3   0.93792   1.0662  2.40323e+01    0.0%   2   46   50.679
  6  -1   3   0.93792   1.0662  2.00269e+02    0.0%   2   46   50.679
  6   1  -3   0.93792   1.0662  2.00264e+02    0.0%   2   46   50.679
 -3   1   6   0.93792   1.0662  2.23251e+01    0.0%   2   46   50.679
  1   6  -3   0.93792   1.0662  2.40319e+01    0.0%   2   46   50.679
  6  -3   1   0.93792   1.0662  1.20189e+02    0.0%   2   46   50.679
 -3   6   1   0.93792   1.0662  6.70107e+01    0.0%   2   46   50.679
  1  -3   6   0.93792   1.0662  6.49423e+01    0.0%   2   46   50.679
  3  -6   1   0.93792   1.0662  6.70107e+01    0.0%   2   46   50.679
  1  -6   3   0.93792   1.0662  2.40323e+01    0.0%   2   46   50.679
  3   1  -6   0.93792   1.0662  2.23276e+01    0.0%   2   46   50.679
 -6   3   1   0.93792   1.0662  1.20189e+02    0.0%   2   46   50.679
  1   3  -6   0.93792   1.0662  6.49415e+01    0.0%   2   46   50.679
 -6   1   3   0.93792   1.0662  2.00269e+02    0.0%   2   46   50.679
  4   4   4   0.91817   1.0891  4.47408e+03    1.0%   2   48   49.612
  4   4  -4   0.91817   1.0891  4.47408e+03    1.0%   2   48   49.612
  4  -4   4   0.91817   1.0891  4.47410e+03    1.0%   2   48   49.612
 -4   4   4   0.91817   1.0891  4.47410e+03    1.0%   2   48   49.612
  6   3   2   0.90876   1.1004  9.24289e+02    0.2%   2   49   49.103
  2   3   6   0.90876   1.1004  1.42745e+03    0.3%   2   49   49.103
  2   6   3   0.90876   1.1004  1.66098e+03    0.4%   2   49   49.103
  6   2   3   0.90876   1.1004  8.57930e+02    0.2%   2   49   49.103
  3   6   2   0.90876   1.1004  1.88822e+03    0.4%   2   49   49.103
  3   2   6   0.90876   1.1004  1.50441e+03    0.3%   2   49   49.103
  6   3  -2   0.90876   1.1004  9.24289e+02    0.2%   2   49   49.103
  3   6  -2   0.90876   1.1004  1.88822e+03    0.4%   2   49   49.103
 -2   6   3   0.90876   1.1004  1.66098e+03    0.4%   2   49   49.103
  0   7   0   0.90876   1.1004  1.38491e+03    0.3%   2   49   49.103
 -2   3   6   0.90876   1.1004  1.42745e+03    0.3%   2   49   49.103
  7   0   0   0.90876   1.1004  1.16344e+03    0.3%   2   49   49.103
  3  -2   6   0.90876   1.1004  1.50440e+03    0.3%   2   49   49.103
  6  -2   3   0.90876   1.1004  8.57916e+02    0.2%   2   49   49.103
  0   0   7   0.90876   1.1004  5.89406e+02    0.1%   2   49   49.103
 -3   2   6   0.90876   1.1004  1.50440e+03    0.3%   2   49   49.103
  2   6  -3   0.90876   1.1004  1.66098e+03    0.4%   2   49   49.103
 -3   6   2   0.90876   1.1004  1.88823e+03    0.4%   2   49   49.103
  6  -3   2   0.90876   1.1004  9.24268e+02    0.2%   2   49   49.103
  6   2  -3   0.90876   1.1004  8.57930e+02    0.2%   2   49   49.103
  2  -3   6   0.90876   1.1004  1.42745e+03    0.3%   2   49   49.103
  3   2  -6   0.90876   1.1004  1.50441e+03    0.3%   2   49   49.103
  2   3  -6   0.90876   1.1004  1.42745e+03    0.3%   2   49   49.103
  3  -6   2   0.90876   1.1004  1.88823e+03    0.4%   2   49   49.103
  2  -6   3   0.90876   1.1004  1.66098e+03    0.4%   2   49   49.103
 -6   3   2   0.90876   1.1004  9.24268e+02    0.2%   2   49   49.103
 -6   2   3   0.90876   1.1004  8.57916e+02    0.2%   2   49   49.103
  3   4   5   0.89962   1.1116  3.23300e+01    0.0%   2   50   48.610
  3   5   4   0.89962   1.1116  4.82507e+01    0.0%   2   50   48.610
  5   3   4   0.89962   1.1116  7.74588e+01    0.0%   2   50   48.610
  4   3   5   0.89962   1.1116  2.59124e+01    0.0%   2   50   48.610
  5   4   3   0.89962   1.1116  8.49927e+01    0.0%   2   50   48.610
  4   5   3   0.89962   1.1116  2.37744e+01    0.0%   2   50   48.610
  0   5   5   0.89962   1.1116  6.85026e+01    0.0%   2   50   48.610
