************************************************************************
Output generated by CrystalDiffract 6 for Windows                       
Copyright (c) 1996-2018 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************

This file looks best in a non-proportional font, e.g., Courier

  h   k   l    d(hkl)  2-Theta    Intensity  I/Imax   m    N       Lp
  3  -1   1   1.91800    .5214  1.17522e+04    2.5%   2   11  103.637
  1  -3   1   1.91800    .5214  1.71494e+04    3.7%   2   11  103.637
 -3   1   1   1.91800    .5214  1.17522e+04    2.5%   2   11  103.637
  1   1  -3   1.91800    .5214  2.04864e+04    4.4%   2   11  103.637
  2   2   2   1.83635    .5446  6.23820e+04   13.5%   2   12   99.225
  2   2  -2   1.83635    .5446  6.23820e+04   13.5%   2   12   99.225
 -2   2   2   1.83635    .5446  6.23820e+04   13.5%   2   12   99.225
  2  -2   2   1.83635    .5446  6.23820e+04   13.5%   2   12   99.225
  2   0   3   1.76431    .5668  1.94791e+04    4.2%   2   13   95.332
  0   3   2   1.76431    .5668  1.11108e+04    2.4%   2   13   95.332
  3   2   0   1.76431    .5668  2.06342e+04    4.5%   2   13   95.332
  3   0   2   1.76431    .5668  1.90752e+04    4.1%   2   13   95.332
  2   3   0   1.76431    .5668  1.93641e+04    4.2%   2   13   95.332
  0   2   3   1.76431    .5668  9.57175e+03    2.1%   2   13   95.332
  0   2  -3   1.76431    .5668  9.57175e+03    2.1%   2   13   95.332
  3  -2   0   1.76431    .5668  2.06342e+04    4.5%   2   13   95.332
  0   3  -2   1.76431    .5668  1.11108e+04    2.4%   2   13   95.332
  3   0  -2   1.76431    .5668  1.90752e+04    4.1%   2   13   95.332
  2   0  -3   1.76431    .5668  1.94791e+04    4.2%   2   13   95.332
  2  -3   0   1.76431    .5668  1.93640e+04    4.2%   2   13   95.332
  3   2   1   1.70013    .5882  5.19325e+02    0.1%   2   14   91.864
  2   3   1   1.70013    .5882  1.47202e+02    0.0%   2   14   91.864
  1   3   2   1.70013    .5882  5.28399e+02    0.1%   2   14   91.864
  3   1   2   1.70013    .5882  2.79163e+02    0.1%   2   14   91.864
  1   2   3   1.70013    .5882  6.59505e+02    0.1%   2   14   91.864
  2   1   3   1.70013    .5882  1.58977e+02    0.0%   2   14   91.864
  3  -1   2   1.70013    .5882  2.79121e+02    0.1%   2   14   91.864
  2  -1   3   1.70013    .5882  1.58960e+02    0.0%   2   14   91.864
  3   2  -1   1.70013    .5882  5.19325e+02    0.1%   2   14   91.864
 -1   3   2   1.70013    .5882  5.28409e+02    0.1%   2   14   91.864
  2   3  -1   1.70013    .5882  1.47202e+02    0.0%   2   14   91.864
 -1   2   3   1.70013    .5882  6.59513e+02    0.1%   2   14   91.864
  3  -2   1   1.70013    .5882  5.19273e+02    0.1%   2   14   91.864
 -2   3   1   1.70013    .5882  1.47192e+02    0.0%   2   14   91.864
  1  -2   3   1.70013    .5882  6.59513e+02    0.1%   2   14   91.864
